"gene_name"	"tot_umis"
"2510009E07RIK;ZGC:162707"	5
"2610318N02RIK;LOC107985532;MIR130B"	5462
"2610528A11RIK;C10ORF99"	117
"2700062C07RIK;C18ORF21"	8
"2700081O15RIK;C11ORF95;RGD1560108"	2233
"2810004N23RIK;C1ORF131;ZGC:194224"	13811
"2810032G03RIK"	0
"2810405F15RIK"	30
"2900026A02RIK"	0
"2900092D14RIK"	52
"3000002C10RIK;4930448K20RIK;AGOS_AER031C;CG9010;ECU07_0800;GAPA-2;GAPB;GAPC1;GAPC2;GAPCP-1;GAPCP-2;GAPDH-PS1;GAPDH.L;GAPDH.S;GAPDH1;GAPDH2;GM10364;GM12070;GM5069;GM5177;GM5523;GM6498;GM6981;GM8709;GPD-1;GPD-2;GPD-3;GPD-4;GPD3;K10B3.12;K10B3.13;LOC100037774;LOC100135863;LOC100169122;LOC100191900;LOC100282981;LOC100781161;LOC100782924;LOC100804853;LOC100806482;LOC100807342;LOC100815649;LOC101213074;LOC101846659;LOC102592694;LOC103936989;LOC103949900;LOC103961743;LOC106105235;LOC106126706;LOC106382350;LOC106450737;LOC107418185;LOC107787153;LOC107845282;LOC107866774;LOC107924606;LOC107957019;LOC303448;LOC542290;LOC542333;LOC542367;LOC542368;LOC542718;LOC692786;LOC732571;LOC732655;MAI-1;TDH1;TDH2;TDH3"	324129
"3110040N11RIK;C15ORF40;C1H15ORF40;C21H15ORF40;C7H15ORF40;CG14966;LOC100527290;RGD1305713;ZGC:193812"	3051
"3110082J24RIK"	0
"3830406C13RIK"	2
"39D1;BTNL1"	0
